City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Aleksandrovskiy Zavod,RU,70.39,broken clouds,50.9237,117.9374,Druzhba
549,Kyrylivka,UA,74.12,clear sky,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
550,Wawa,NG,71.31,light rain,9.9022,4.4192,
551,Shellbrook,CA,74.43,clear sky,53.2168,-106.4011,Shellbrook Hotel
560,Maceio,BR,74.64,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
562,Semey,KZ,73.62,broken clouds,50.4111,80.2275,Grand Hotel Semey
566,Grand-Lahou,CI,74.35,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
567,Bahia De Caraquez,EC,73.58,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
570,Toktogul,KG,74.44,clear sky,41.8708,72.9402,KAGAN
574,Konstantinovka,RU,72.68,overcast clouds,49.6167,127.9833,
584,Ayni,TJ,73.0,few clouds,39.3941,68.5377,Dilovars Homestay
588,Anchorage,US,72.61,smoke,61.2181,-149.9003,Hotel Captain Cook
592,Arrifes,PT,70.05,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
596,Yola,NG,71.02,light rain,9.2,12.4833,Muna Hotel
598,San,ML,70.77,heavy intensity rain,13.3034,-4.8956,Hôtel Teriya
601,Bela Vista,BR,74.05,overcast clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
610,Goderich,CA,72.91,scattered clouds,43.7501,-81.7165,Harmony Inn
611,Padang,ID,73.45,light rain,-0.9492,100.3543,Mercure Padang
617,Engels,RU,72.46,clear sky,51.5,46.1167,Rechnaya Dolina
623,Ekibastuz,KZ,73.15,broken clouds,51.6667,75.3667,
632,Lewiston,US,72.05,broken clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
637,Esterhazy,CA,70.65,few clouds,50.65,-102.0843,Canalta Hotel Esterhazy
