City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
493,San Angelo,US,31.4638,-100.437,98.82,28,40,14.97,scattered clouds,2022-07-29 01:50:55
494,Mon,IN,26.75,95.1,79.23,79,73,1.59,broken clouds,2022-07-29 01:50:55
495,Kutum,SD,14.2,24.6667,75.09,59,100,6.71,overcast clouds,2022-07-29 01:50:56
496,Itarema,BR,-2.9248,-39.9167,77.23,86,98,10.92,overcast clouds,2022-07-29 01:50:56
497,Mikuni,JP,36.2171,136.1519,87.71,62,0,3.29,clear sky,2022-07-29 01:50:57
498,Wum,CM,6.3833,10.0667,62.92,99,100,1.88,light rain,2022-07-29 01:51:57
499,Webuye,KE,0.6075,34.7697,60.76,90,100,3.71,overcast clouds,2022-07-29 01:51:58
500,Krasnoselkup,RU,65.7,82.4667,63.3,63,0,13.27,clear sky,2022-07-29 01:51:58
501,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,20,3.89,few clouds,2022-07-29 01:51:58
502,Ascension,US,30.2169,-90.9001,81.07,92,0,0.0,clear sky,2022-07-29 01:51:59
503,Lithakia,GR,37.7167,20.8333,78.08,73,0,2.3,clear sky,2022-07-29 01:47:18
504,Mabay,PH,6.0577,124.4666,84.61,68,100,4.32,overcast clouds,2022-07-29 01:51:59
505,Cap Malheureux,MU,-19.9842,57.6142,67.46,76,0,5.01,clear sky,2022-07-29 01:51:59
506,Sulangan,PH,11.1373,123.7228,84.29,73,100,9.35,overcast clouds,2022-07-29 01:52:00
507,Bagan,RU,54.1001,77.6646,69.64,62,47,12.68,scattered clouds,2022-07-29 01:52:00
508,Darovskoy,RU,58.77,47.9564,57.49,87,6,4.25,clear sky,2022-07-29 01:52:01
509,Mingshui,CN,36.7167,117.5,81.3,76,82,2.64,broken clouds,2022-07-29 01:52:01
510,Morgan City,US,29.6994,-91.2068,79.0,85,14,5.44,few clouds,2022-07-29 01:52:01
511,Moranbah,AU,-22.0016,148.0466,64.76,51,4,11.74,clear sky,2022-07-29 01:52:02
512,Ulkan,RU,57.243,107.3223,60.35,85,100,6.44,overcast clouds,2022-07-29 01:52:02
513,Salinas,US,36.6777,-121.6555,75.79,76,75,12.66,broken clouds,2022-07-29 01:51:10
